Warcraft,,0,0,0,0.3,0.28,0
Romance,,0,0,0,0.23,0.26,0
Chair,,0,0,0,0.5,0.33,0
Door,,0,0,0,1.5,2.4,0
Camera,,-0.04,-0.02,0,0.24,0.18,0
Radio,,0,0,0,0.68,0.35,0.0
Radio2,,-0.08,-0.05,0,0.49,0.35,0
