Warcraft,,0,0,0,0.1,0.1,0
Romance,,-0.17,-0.02,0.05,-0.005,-0.24,0.05
Camera,,-0.12,-0.09,0.065,0.04,-0.18,0.065
ChairLeft,,-0.07,-0.06,-0.04,0.29,-0.28,-0.04
ChairRight,,0.1,0.1,0.1,0.1,0.1,0.1
ChairFront,,-0.24,-0.06,-0.04,0.12,-0.24,-0.04
DoorLeft,,0.1,0.1,0.1,0.1,0.1,0.1
DoorRight,,0.1,0.1,0.1,0.1,0.1,0.1
